id,projet,fokontany,coût (M Ar),bénéficiaires,urgence (1-5),score d'impact
P076,Latrines publiques,Anjoma,28.7,541,1,4.3
P077,Puits / borne-fontaine,Antarandolo,53.3,1401,1,11.2
P078,Marché couvert,Antarandolo,179.5,4084,4,57.2
P079,Digue anti-inondation,Ambatomena,326.4,5539,2,55.4
P080,Réhabilitation piste rurale (km),Ambatomena,86.6,1246,1,10.0
P081,Digue anti-inondation,Andrainjato,327.6,8142,5,130.3
P082,Latrines publiques,Ambalapaiso,32.3,515,3,6.2
P083,Centre de santé de base (CSB),Talatamaty,384.6,4140,5,66.2
P084,Marché couvert,Anjoma,261.4,4007,2,40.1
P085,Pont / radier,Ambatomena,335.5,6207,4,86.9
P086,École primaire (2 salles),Anjoma,181.4,3727,1,29.8
P087,Latrines publiques,Ambalapaiso,25.6,629,2,6.3
P088,Réhabilitation piste rurale (km),Ambatomena,134.3,2073,3,24.9
P089,Pont / radier,Talatamaty,285.7,5097,5,81.6
P090,Latrines publiques,Ambatomena,27.0,352,2,3.5
P091,Bibliothèque communale,Ivory,90.8,2525,5,40.4
P092,Latrines publiques,Mahamanina,21.5,422,4,5.9
P093,Réhabilitation piste rurale (km),Talatamaty,130.0,1491,5,23.9
P094,Terrain de sport,Ivory,72.0,952,3,11.4
P095,Adduction d'eau (village),Ambatomena,167.4,2157,3,25.9
P096,Digue anti-inondation,Ambatomena,294.3,5921,3,71.1
P097,Adduction d'eau (village),Talatamaty,145.4,1722,1,13.8
P098,Latrines publiques,Antarandolo,27.3,825,3,9.9
P099,Pont / radier,Antarandolo,272.1,2935,4,41.1
P100,École primaire (2 salles),Ampitakely,169.3,3955,2,39.5
P101,Pont / radier,Andrainjato,167.2,4060,2,40.6
P102,Latrines publiques,Talatamaty,32.1,617,2,6.2
P103,Terrain de sport,Ampitakely,78.3,1203,4,16.8
P104,Terrain de sport,Isada,80.2,807,3,9.7
P105,Terrain de sport,Ambalapaiso,77.6,1639,2,16.4
P106,Marché couvert,Ambatomena,189.1,4295,2,43.0
P107,Réhabilitation piste rurale (km),Isada,152.2,1741,2,17.4
P108,École primaire (2 salles),Tanambao,186.4,4353,1,34.8
P109,Réhabilitation piste rurale (km),Andrainjato,128.1,1133,3,13.6
P110,Digue anti-inondation,Talatamaty,266.5,4618,3,55.4
P111,École primaire (2 salles),Tanambao,201.8,3264,2,32.6
P112,Pont / radier,Talatamaty,288.0,5348,2,53.5
P113,Latrines publiques,Ampitakely,25.2,200,4,2.8
P114,Centre de santé de base (CSB),Tanambao,352.9,6902,3,82.8
P115,Éclairage public solaire,Ampitakely,64.5,1300,4,18.2
P116,École primaire (2 salles),Ambatomena,128.0,1459,2,14.6
P117,Puits / borne-fontaine,Ambalapaiso,52.9,733,5,11.7
P118,École primaire (2 salles),Tanambao,184.8,2225,5,35.6
P119,Éclairage public solaire,Talatamaty,60.9,1309,3,15.7
P120,Pont / radier,Isada,271.9,5417,5,86.7
