id,profil,vCPU,RAM (Go),disque (Go),revenu mensuel (USD)
VM187,xlarge,16,32,320,291.78
VM188,medium,4,8,80,62.62
VM189,large,8,16,160,95.13
VM190,small,2,4,40,31.13
VM191,large,8,16,160,122.65
VM192,large,8,16,160,133.56
VM193,stockage,2,8,800,76.14
VM194,medium,4,8,80,55.81
VM195,xlarge,16,32,320,173.74
VM196,xlarge,16,32,320,286.23
VM197,medium,4,8,80,57.36
VM198,calcul,16,8,60,120.37
VM199,medium,4,8,80,68.65
VM200,mémoire,4,32,100,148.52
VM201,micro,1,1,20,13.75
VM202,small,2,4,40,29.1
VM203,small,2,4,40,34.33
VM204,micro,1,1,20,13.17
VM205,stockage,2,8,800,73.81
VM206,calcul,16,8,60,164.66
VM207,medium,4,8,80,62.49
VM208,medium,4,8,80,61.96
VM209,micro,1,1,20,17.14
VM210,micro,1,1,20,15.95
VM211,stockage,2,8,800,81.31
VM212,calcul,16,8,60,161.08
VM213,medium,4,8,80,83.49
VM214,mémoire,4,32,100,148.69
VM215,small,2,4,40,37.81
VM216,micro,1,1,20,12.73
VM217,large,8,16,160,105.36
VM218,micro,1,1,20,16.67
VM219,stockage,2,8,800,95.36
VM220,large,8,16,160,121.05
VM221,large,8,16,160,134.85
VM222,micro,1,1,20,11.22
VM223,calcul,16,8,60,197.11
VM224,small,2,4,40,33.84
VM225,calcul,16,8,60,122.41
VM226,small,2,4,40,38.12
VM227,stockage,2,8,800,61.58
VM228,mémoire,4,32,100,150.98
VM229,mémoire,4,32,100,151.19
VM230,large,8,16,160,156.03
VM231,micro,1,1,20,12.96
VM232,small,2,4,40,37.13
VM233,large,8,16,160,139.73
VM234,stockage,2,8,800,90.34
VM235,micro,1,1,20,9.86
VM236,stockage,2,8,800,88.21
VM237,large,8,16,160,116.34
VM238,mémoire,4,32,100,134.39
VM239,xlarge,16,32,320,179.75
VM240,large,8,16,160,116.28
VM241,medium,4,8,80,72.1
VM242,micro,1,1,20,16.56
VM243,stockage,2,8,800,103.17
VM244,small,2,4,40,26.19
VM245,large,8,16,160,110.79
VM246,micro,1,1,20,12.61
VM247,mémoire,4,32,100,133.5
VM248,calcul,16,8,60,126.71
VM249,mémoire,4,32,100,146.11
VM250,small,2,4,40,31.33
VM251,xlarge,16,32,320,192.05
VM252,xlarge,16,32,320,265.44
VM253,medium,4,8,80,44.0
VM254,medium,4,8,80,57.66
VM255,calcul,16,8,60,184.55
VM256,xlarge,16,32,320,219.48
VM257,large,8,16,160,111.55
VM258,large,8,16,160,123.58
VM259,medium,4,8,80,68.71
VM260,calcul,16,8,60,168.88
VM261,medium,4,8,80,51.55
VM262,small,2,4,40,36.88
VM263,stockage,2,8,800,92.72
VM264,medium,4,8,80,48.2
VM265,large,8,16,160,154.86
VM266,small,2,4,40,34.75
VM267,large,8,16,160,160.22
VM268,small,2,4,40,38.86
VM269,small,2,4,40,28.76
VM270,xlarge,16,32,320,205.35
VM271,stockage,2,8,800,92.61
VM272,medium,4,8,80,50.55
VM273,micro,1,1,20,17.26
VM274,calcul,16,8,60,202.11
VM275,small,2,4,40,26.32
VM276,micro,1,1,20,9.79
VM277,stockage,2,8,800,68.29
VM278,xlarge,16,32,320,218.84
VM279,micro,1,1,20,14.35
VM280,micro,1,1,20,14.77
VM281,calcul,16,8,60,129.39
VM282,xlarge,16,32,320,285.78
VM283,small,2,4,40,40.01
VM284,stockage,2,8,800,107.42
VM285,xlarge,16,32,320,287.07
VM286,calcul,16,8,60,137.49
VM287,mémoire,4,32,100,103.28
VM288,stockage,2,8,800,75.61
VM289,mémoire,4,32,100,168.92
VM290,stockage,2,8,800,71.53
VM291,calcul,16,8,60,135.87
VM292,stockage,2,8,800,67.42
VM293,small,2,4,40,35.46
VM294,micro,1,1,20,9.39
VM295,micro,1,1,20,12.58
VM296,xlarge,16,32,320,219.71
VM297,micro,1,1,20,14.35
VM298,mémoire,4,32,100,114.75
VM299,xlarge,16,32,320,308.12
VM300,small,2,4,40,34.62
